,plz,restaurant,adresse,web,kontakt,beschreibung,email,telefon
1,8001,Restaurant Au Gratin,Bahnhofplatz 2,www.augratin.ch,044 221 38 00  info@newszh.ch,"Unsere glutenfreien Gerichte sind auf der Speisekarte gekennzeichnet. Sie brauchen keine Spezialkarte zu verlangen. Auf unserer Homepage www.augratin.ch können Sie die Gerichte anschauen. Dabei sehen Sie, dass wir eine grosse Auswahl an glutenfreien Gerichten anbieten.",info@newszh.ch,044 221 38 00
2,8001,Haus Hiltl,Sihlstrasse 28,www.hiltl.ch,044 227 70 00 info@hiltl.ch,"Hiltl, das bekannteste vegetarische Restaurant der Schweiz: Ob à la carte Gerichte oder Buffet, alle Speisen sind präzise deklariert und auf der Karte entsprechend gekennzeichnet. Glutenfreies Brot ist vorrätig.",info@hiltl.ch,044 227 70 00
3,8001,Kunsthausrestaurant (Remimag AG),Heimplatz 1,www.kunsthausrestaurant.ch,044 251 53 53 kunsthausrestaurant@remimag.ch,"Genauso kunterbunt wie die Kunst im nahegelegenen Kunsthaus, zeigt sich auch die Gästeschar im Restaurant und das Speiseangebot der Küche. Geprägt wird das alles von einer gelungenen Symbiose zwischen traditionellen und mediterranen Einflüssen. Das Speiseangebot umfasst mittags und abends während den Servicezeiten immer glutenfreie Produkte, unabhängig ob Suppe, Vorspeise oder Hauptgang. Die glutenfreie Pasta kann ganztags bestellt werden und ist über den hauseigenen Mercato auch für daheim erhältlich.",kunsthausrestaurant@remimag.ch,044 251 53 53
4,8001,Hitzberger Fastfood natürlich Hauptbahnhof Zürich,Museumstrasse 1,www.hitzberger.ch,044 212 37 20   ,"Das Schnellverpflegungskonzept Hitzberger – Fastfood natürlich bietet an folgenden Standorten ein Sortiment an glutenfreien Salaten, Curries, Suppen, Smoothies und Säften sowie Desserts (die glutenfreien Angebote sind entsprechend gekennzeichnet).",,044 212 37 20
5,8005,SamSeS Vegetarisches Restaurant,Langstrasse 231,www.samses.ch,044 440 13 13,"Bei uns geniessen Sie gefüllte Ravioli, Gnocchi, Brot, verschiedene Gerichte am Buffet, Salate, Vorspeisen, Hauptgerichte. Als Dessert bieten wir Schokoladen Kuchen, Eis, Panna Cotta, Mousse, Cheescake.",,044 440 13 13
6,8005,Hitzberger Fastfood  Zürich Puls 5,Giessereistrasse 18,www.hitzberger.ch,044 271 24 00 ,"Das Schnellverpflegungskonzept Hitzberger – Fastfood natürlich bietet an folgenden Standorten ein Sortiment an glutenfreien Salaten, Curries, Suppen, Smoothies und Säften sowie Desserts (die glutenfreien Angebote sind entsprechend gekennzeichnet).",,044 271 24 00
7,8005,Restaurant Don Weber,Heinrichstrasse 213,www.donweber.ch,044 272 05 40 info@donweber.ch,"Wir haben eine gut gekennzeichnete spezielle gluten- & laktosefreie Speisekarte, die Sie gerne bei unseren Don’s & Doñas verlangen können. Unsere mexikanischen Klassiker wie Nachos, Fajitas & Burritos, sowie unsere verschiedenen Burgers sind der Renner. Nicht zu vergessen unser gluten- & laktosefreies warmes Schoggiküchlein zum Abschluss – der Traum jedes Allergiker’s. Im Angebot ist immer mind. 1 glutenfreies Bier welches optimal zu einem Bistec de Carne, Mexican Pollo oder Surf Ajillo passt.",info@donweber.ch,044 272 05 40
8,8005,Menu & More AG,Sihlquai 340,www.menuandmore.ch,044 448 26 11 info@menuandmore.ch,"Wir bieten Horten und Krippen verschiedene glutenfreie Menükomponenten, die als glutenfrei deklariert sind. Zusätzlich bieten wir als Zusatzsortiment 23 laktose- und glutenfreie Produkte als Einzelportionen verpackt, an (Eiweisskomponenten inkl. Vegi, Saucen, Stärkebeilagen). Bestellung der Mahlzeiten bis 4 Arbeitstage vor dem Menüdatum empfehlenswert.",info@menuandmore.ch,044 448 26 11
9,8006,Les Gourmandises de Miyuko,Beckenhofstrasse 24,www.miyuko.ch,044 350 21 43 info@miyuko.ch,"Unsere bekannten Torten, Kuchen, Scones aber auch Speisen für den kleinen Hunger sind in der Menükarte gekennzeichnet und aus eigener Produktion. Eine Online Reservation fürs Miyuko Gnüsser Zmorge, Tea Time oder den Prinzessinen Kafi Klatsch wird empfohlen. ",info@miyuko.ch,044 350 21 43
10,8006,Restaurant Linde Oberstrass (Gamag Management AG),Universitätsstrasse 91,www.linde-oberstrass.ch,044 362 21 09 linde@remimag.ch,"Kulinarisch bietet die Linde alles, was zum hauseigenen Bier passt. Von Bagels und Hefeteigfladen über bodenständige Hausmannskost bis hin zu leichten Salatkreationen. An lauen Sommerabenden lädt der Biergarten zum Verweilen ein. Das Speiseangebot umfasst mittags und abends während den Servicezeiten immer glutenfreie Produkte, unabhängig ob Suppe, Vorspeise oder Hauptgang.",linde@remimag.ch,044 362 21 09
